Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.4240877330303192,Humano,✔️
1,Gemini_Answer,IA,0.05751269683241844,IA,✔️
1,Deepseek_Answer,IA,0.06174320727586746,IA,✔️
1,Gemini_Novice_Answer,Humano,0.13268432021141052,IA,❌
1,Gemini_SimpleVars_Answer,IA,0.06263446807861328,IA,✔️
1,Gemini_NoviceSpanish_Answer,IA,0.06543535739183426,IA,✔️
1,Deepseek_Novice_Answer,IA,0.05893972888588905,IA,✔️
1,Deepseek_SimpleVars_Answer,IA,0.06325340270996094,IA,✔️
1,Deepseek_NoviceSpanish_Answer,IA,0.06620513647794724,IA,✔️
2,Human_Code,IA,0.06081955134868622,Humano,❌
2,Gemini_Answer,IA,0.06796319037675858,IA,✔️
2,Deepseek_Answer,Humano,0.07110109180212021,IA,❌
2,Gemini_Novice_Answer,Humano,0.0706147700548172,IA,❌
2,Gemini_SimpleVars_Answer,Humano,0.1639602929353714,IA,❌
2,Gemini_NoviceSpanish_Answer,IA,0.061784543097019196,IA,✔️
2,Deepseek_Novice_Answer,IA,0.05860179662704468,IA,✔️
2,Deepseek_SimpleVars_Answer,IA,0.06316855549812317,IA,✔️
2,Deepseek_NoviceSpanish_Answer,IA,0.06109939143061638,IA,✔️
3,Human_Code,Humano,0.33812445029616356,Humano,✔️
3,Gemini_Answer,IA,0.06482665985822678,IA,✔️
3,Deepseek_Answer,IA,0.06337181478738785,IA,✔️
3,Gemini_Novice_Answer,IA,0.06298085302114487,IA,✔️
3,Gemini_SimpleVars_Answer,Humano,0.07708928734064102,IA,❌
3,Gemini_NoviceSpanish_Answer,Humano,0.35785194486379623,IA,❌
3,Deepseek_Novice_Answer,IA,0.05672646686434746,IA,✔️
3,Deepseek_SimpleVars_Answer,IA,0.06337181478738785,IA,✔️
3,Deepseek_NoviceSpanish_Answer,IA,0.059150271117687225,IA,✔️
4,Human_Code,Humano,0.327968530356884,Humano,✔️
4,Gemini_Answer,Humano,0.09041020274162292,IA,❌
4,Deepseek_Answer,IA,0.0658821165561676,IA,✔️
4,Gemini_Novice_Answer,IA,0.06851589679718018,IA,✔️
4,Gemini_SimpleVars_Answer,IA,0.06475541740655899,IA,✔️
4,Gemini_NoviceSpanish_Answer,IA,0.06715937703847885,IA,✔️
4,Deepseek_Novice_Answer,IA,0.05810160934925079,IA,✔️
4,Deepseek_SimpleVars_Answer,IA,0.06592609733343124,IA,✔️
4,Deepseek_NoviceSpanish_Answer,IA,0.062259264290332794,IA,✔️
5,Human_Code,Humano,0.5072703957557678,Humano,✔️
5,Gemini_Answer,Humano,0.1942897643893957,IA,❌
5,Deepseek_Answer,Humano,0.36116745695471764,IA,❌
5,Gemini_Novice_Answer,Humano,0.14244631677865982,IA,❌
5,Gemini_SimpleVars_Answer,Humano,0.3100527338683605,IA,❌
5,Gemini_NoviceSpanish_Answer,Humano,0.21296363323926926,IA,❌
5,Deepseek_Novice_Answer,Humano,0.08392019383609295,IA,❌
5,Deepseek_SimpleVars_Answer,IA,0.054719243198633194,IA,✔️
5,Deepseek_NoviceSpanish_Answer,Humano,0.08236141875386238,IA,❌
6,Human_Code,Humano,0.1108531504869461,Humano,✔️
6,Gemini_Answer,IA,0.06906648725271225,IA,✔️
6,Deepseek_Answer,IA,0.0697258934378624,IA,✔️
