Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.06543535739183426,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,IA,0.061784543097019196,IA,✔️
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,Humano,0.35785194486379623,IA,❌
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.06715937703847885,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.21296363323926926,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.06636766344308853,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,Humano,0.0978807881474495,IA,❌
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,Humano,0.1928621530532837,IA,❌
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,Humano,0.07159125804901123,IA,❌
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.06365448981523514,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.0639052465558052,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,IA,0.06788253784179688,IA,✔️
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06494894623756409,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.05609725043177605,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,Humano,0.07865185290575027,IA,❌
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,Humano,0.07596008479595184,IA,❌
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,Humano,0.07407073676586151,IA,❌
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,IA,0.06059572100639343,IA,✔️
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,Humano,0.08840742707252502,IA,❌
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,Humano,0.10159383714199066,IA,❌
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,IA,0.06342684477567673,IA,✔️
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,Humano,0.10592348873615265,IA,❌
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,Humano,0.10002246126532555,IA,❌
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,IA,0.05928942933678627,IA,✔️
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,IA,0.06389649212360382,IA,✔️
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,IA,0.06824872642755508,IA,✔️
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,Humano,0.10321476310491562,IA,❌
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,IA,0.06769385188817978,IA,✔️
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,IA,0.06153694540262222,IA,✔️
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,IA,0.05771550536155701,IA,✔️
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,Humano,0.11202145181596279,IA,❌
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,Humano,0.16810803674161434,IA,❌
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,IA,0.06941220909357071,IA,✔️
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,Humano,0.13571426644921303,IA,❌
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.060808390378952026,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,Humano,0.30079198628664017,IA,❌
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,IA,0.05712946876883507,IA,✔️
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,Humano,0.07079283148050308,IA,❌
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,Humano,0.0898112803697586,IA,❌
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,Humano,0.10446184873580933,IA,❌
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,IA,0.0606851689517498,IA,✔️
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,Humano,0.09267336875200272,IA,❌
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,IA,0.06526479870080948,IA,✔️
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,IA,0.0642770528793335,IA,✔️
45,Human_Code,IA,0.06476547569036484,Humano,❌
45,IA_Code,IA,0.05793442949652672,IA,✔️
46,Human_Code,Humano,0.5663377314805984,Humano,✔️
46,IA_Code,IA,0.059589583426713943,IA,✔️
47,Human_Code,Humano,0.1959434226155281,Humano,✔️
47,IA_Code,Humano,0.205935500562191,IA,❌
48,Human_Code,IA,0.060964953154325485,Humano,❌
48,IA_Code,IA,0.06565231084823608,IA,✔️
49,Human_Code,Humano,0.6820157170295715,Humano,✔️
49,IA_Code,Humano,0.17481108009815216,IA,❌
50,Human_Code,IA,0.06222281977534294,Humano,❌
50,IA_Code,Humano,0.14966917783021927,IA,❌
51,Human_Code,Humano,0.10582263022661209,Humano,✔️
51,IA_Code,Humano,0.15524873696267605,IA,❌
52,Human_Code,Humano,0.0712725892663002,Humano,✔️
52,IA_Code,IA,0.05967292562127113,IA,✔️
53,Human_Code,Humano,0.4879023681084315,Humano,✔️
53,IA_Code,Humano,0.10567289590835571,IA,❌
54,Human_Code,Humano,0.08610629290342331,Humano,✔️
54,IA_Code,IA,0.06267388164997101,IA,✔️
55,Human_Code,IA,0.06484369188547134,Humano,❌
55,IA_Code,Humano,0.10403376817703247,IA,❌
56,Human_Code,Humano,0.11724872887134552,Humano,✔️
56,IA_Code,Humano,0.29165544112523395,IA,❌
57,Human_Code,Humano,0.11984777450561523,Humano,✔️
57,IA_Code,Humano,0.07155746966600418,IA,❌
58,Human_Code,IA,0.058992426842451096,Humano,❌
58,IA_Code,Humano,0.0825614184141159,IA,❌
59,Human_Code,Humano,0.1629699319601059,Humano,✔️
59,IA_Code,Humano,0.24122871831059456,IA,❌
60,Human_Code,IA,0.06880956888198853,Humano,❌
60,IA_Code,IA,0.060957491397857666,IA,✔️
61,Human_Code,Humano,0.5872868895530701,Humano,✔️
61,IA_Code,IA,0.060259900987148285,IA,✔️
62,Human_Code,IA,0.06971559673547745,Humano,❌
62,IA_Code,IA,0.057405777275562286,IA,✔️
63,Human_Code,Humano,0.20594494914015135,Humano,✔️
63,IA_Code,Humano,0.11152197420597076,IA,❌
64,Human_Code,Humano,0.7468757629394531,Humano,✔️
64,IA_Code,Humano,0.09688129276037216,IA,❌
65,Human_Code,Humano,0.4714314043521881,Humano,✔️
65,IA_Code,IA,0.06650830805301666,IA,✔️
66,Human_Code,Humano,0.3362543545663357,Humano,✔️
66,IA_Code,IA,0.06700846552848816,IA,✔️
67,Human_Code,Humano,0.17047512531280518,Humano,✔️
67,IA_Code,IA,0.06775204837322235,IA,✔️
68,Human_Code,IA,0.06117583066225052,Humano,❌
68,IA_Code,Humano,0.08730683475732803,IA,❌
69,Human_Code,Humano,0.10606666654348373,Humano,✔️
69,IA_Code,Humano,0.2999049723148346,IA,❌
70,Human_Code,Humano,0.4566666781902313,Humano,✔️
70,IA_Code,Humano,0.10198904573917389,IA,❌
71,Human_Code,Humano,0.0728815495967865,Humano,✔️
71,IA_Code,IA,0.05606268718838692,IA,✔️
72,Human_Code,Humano,0.07998473197221756,Humano,✔️
72,IA_Code,Humano,0.14762922748923302,IA,❌
73,Human_Code,Humano,0.08986522257328033,Humano,✔️
73,IA_Code,IA,0.05799479782581329,IA,✔️
74,Human_Code,Humano,0.35777799785137177,Humano,✔️
74,IA_Code,Humano,0.07111281156539917,IA,❌
75,Human_Code,Humano,0.08564553409814835,Humano,✔️
75,IA_Code,IA,0.06705538928508759,IA,✔️
76,Human_Code,Humano,0.10565095394849777,Humano,✔️
76,IA_Code,IA,0.06290779262781143,IA,✔️
77,Human_Code,Humano,0.4962962716817856,Humano,✔️
77,IA_Code,IA,0.06082487851381302,IA,✔️
78,Human_Code,Humano,0.4094213545322418,Humano,✔️
78,IA_Code,IA,0.05975993350148201,IA,✔️
79,Human_Code,Humano,0.11862986534833908,Humano,✔️
79,IA_Code,Humano,0.08156871795654297,IA,❌
80,Human_Code,Humano,0.07067200541496277,Humano,✔️
80,IA_Code,IA,0.058710597455501556,IA,✔️
81,Human_Code,Humano,0.3946402271588643,Humano,✔️
81,IA_Code,Humano,0.1441794168204069,IA,❌
82,Human_Code,Humano,0.3087049871683121,Humano,✔️
82,IA_Code,Humano,0.07097582519054413,IA,❌
83,Human_Code,Humano,0.10553503781557083,Humano,✔️
83,IA_Code,Humano,0.07391958683729172,IA,❌
84,Human_Code,IA,0.06278600543737411,Humano,❌
84,IA_Code,Humano,0.11541688442230225,IA,❌
85,Human_Code,IA,0.06918568909168243,Humano,❌
85,IA_Code,Humano,0.07674126327037811,IA,❌
86,Human_Code,Humano,0.2343633659183979,Humano,✔️
86,IA_Code,IA,0.06613452732563019,IA,✔️
87,Human_Code,Humano,0.09584257006645203,Humano,✔️
87,IA_Code,Humano,0.12392465770244598,IA,❌
88,Human_Code,Humano,0.21571776270866394,Humano,✔️
88,IA_Code,IA,0.0638024602085352,IA,✔️
89,Human_Code,Humano,0.1820022165775299,Humano,✔️
89,IA_Code,Humano,0.10313436016440392,IA,❌
90,Human_Code,Humano,0.49404385685920715,Humano,✔️
90,IA_Code,IA,0.06317651271820068,IA,✔️
91,Human_Code,Humano,0.2650294303894043,Humano,✔️
91,IA_Code,IA,0.057883478701114655,IA,✔️
92,Human_Code,Humano,0.08299440145492554,Humano,✔️
92,IA_Code,Humano,0.14073966443538666,IA,❌
93,Human_Code,IA,0.06884505599737167,Humano,❌
93,IA_Code,Humano,0.0758720189332962,IA,❌
94,Human_Code,Humano,0.13689831271767616,Humano,✔️
94,IA_Code,Humano,0.0798952579498291,IA,❌
95,Human_Code,Humano,0.11621709913015366,Humano,✔️
95,IA_Code,Humano,0.07608573138713837,IA,❌
96,Human_Code,IA,0.06767352670431137,Humano,❌
96,IA_Code,IA,0.0679163858294487,IA,✔️
97,Human_Code,Humano,0.09418748319149017,Humano,✔️
97,IA_Code,IA,0.06655481457710266,IA,✔️
98,Human_Code,IA,0.06849172711372375,Humano,❌
98,IA_Code,Humano,0.07930736988782883,IA,❌
