Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.05751269683241844,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,IA,0.06796319037675858,IA,✔️
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,IA,0.06482665985822678,IA,✔️
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,Humano,0.09041020274162292,IA,❌
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.1942897643893957,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.06906648725271225,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,IA,0.06176598370075226,IA,✔️
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.06508041173219681,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.06370111554861069,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.0643882155418396,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,Humano,0.07727330923080444,IA,❌
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,Humano,0.07271603494882584,IA,❌
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06120608374476433,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.0690278634428978,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,IA,0.06834413856267929,IA,✔️
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.06032460182905197,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,Humano,0.08187190443277359,IA,❌
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,IA,0.06493064761161804,IA,✔️
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.0616772398352623,IA,✔️
