Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.06263446807861328,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,Humano,0.1639602929353714,IA,❌
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,Humano,0.07708928734064102,IA,❌
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.06475541740655899,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.3100527338683605,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.06804140657186508,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,Humano,0.083411306142807,IA,❌
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.06516191363334656,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.06066826730966568,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,Humano,0.1292417049407959,IA,❌
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.0562492199242115,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,Humano,0.08116049319505692,IA,❌
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.05798327177762985,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.056992001831531525,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,Humano,0.07673320919275284,IA,❌
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.05962410569190979,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,Humano,0.07050462067127228,IA,❌
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,Humano,0.09383729100227356,IA,❌
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.06513074040412903,IA,✔️
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,Humano,0.16509108245372772,IA,❌
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,IA,0.06694596260786057,IA,✔️
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,Humano,0.08133596181869507,IA,❌
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,IA,0.061599310487508774,IA,✔️
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,Humano,0.07266830652952194,IA,❌
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,IA,0.06590454280376434,IA,✔️
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,IA,0.06404121965169907,IA,✔️
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,Humano,0.07265167683362961,IA,❌
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,Humano,0.12165016680955887,IA,❌
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,IA,0.060316525399684906,IA,✔️
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,Humano,0.07129835337400436,IA,❌
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,IA,0.06846325099468231,IA,✔️
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,IA,0.06757707893848419,IA,✔️
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,IA,0.06561515480279922,IA,✔️
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,IA,0.06822238117456436,IA,✔️
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.05938280001282692,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,IA,0.06364999711513519,IA,✔️
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,IA,0.06012541800737381,IA,✔️
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,IA,0.06521548330783844,IA,✔️
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,IA,0.06481576710939407,IA,✔️
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,IA,0.06666968762874603,IA,✔️
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,Humano,0.07134277373552322,IA,❌
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,IA,0.056736938655376434,IA,✔️
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,Humano,0.14004939794540405,IA,❌
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,IA,0.06813592463731766,IA,✔️
45,Human_Code,IA,0.06476547569036484,Humano,❌
45,IA_Code,IA,0.0636582002043724,IA,✔️
46,Human_Code,Humano,0.5663377314805984,Humano,✔️
46,IA_Code,IA,0.06703358888626099,IA,✔️
47,Human_Code,Humano,0.1959434226155281,Humano,✔️
47,IA_Code,IA,0.057029228657484055,IA,✔️
48,Human_Code,IA,0.060964953154325485,Humano,❌
48,IA_Code,IA,0.05568545684218407,IA,✔️
49,Human_Code,Humano,0.6820157170295715,Humano,✔️
49,IA_Code,IA,0.05707433074712753,IA,✔️
50,Human_Code,IA,0.06222281977534294,Humano,❌
50,IA_Code,IA,0.056519683450460434,IA,✔️
51,Human_Code,Humano,0.10582263022661209,Humano,✔️
51,IA_Code,IA,0.06286167353391647,IA,✔️
52,Human_Code,Humano,0.0712725892663002,Humano,✔️
52,IA_Code,Humano,0.14666196703910828,IA,❌
53,Human_Code,Humano,0.4879023681084315,Humano,✔️
53,IA_Code,Humano,0.1073872372508049,IA,❌
54,Human_Code,Humano,0.08610629290342331,Humano,✔️
54,IA_Code,IA,0.06888972967863083,IA,✔️
55,Human_Code,IA,0.06484369188547134,Humano,❌
55,IA_Code,Humano,0.12113633751869202,IA,❌
56,Human_Code,Humano,0.11724872887134552,Humano,✔️
56,IA_Code,IA,0.060647282749414444,IA,✔️
57,Human_Code,Humano,0.11984777450561523,Humano,✔️
57,IA_Code,IA,0.06090063229203224,IA,✔️
58,Human_Code,IA,0.058992426842451096,Humano,❌
58,IA_Code,IA,0.06166834756731987,IA,✔️
59,Human_Code,Humano,0.1629699319601059,Humano,✔️
59,IA_Code,IA,0.05680059269070625,IA,✔️
60,Human_Code,IA,0.06880956888198853,Humano,❌
60,IA_Code,Humano,0.19156476855278015,IA,❌
61,Human_Code,Humano,0.5872868895530701,Humano,✔️
61,IA_Code,Humano,0.11059186607599258,IA,❌
62,Human_Code,IA,0.06971559673547745,Humano,❌
62,IA_Code,Humano,0.094432532787323,IA,❌
63,Human_Code,Humano,0.20594494914015135,Humano,✔️
63,IA_Code,Humano,0.13295811414718628,IA,❌
64,Human_Code,Humano,0.7468757629394531,Humano,✔️
64,IA_Code,Humano,0.08039461076259613,IA,❌
65,Human_Code,Humano,0.4714314043521881,Humano,✔️
65,IA_Code,IA,0.06881081312894821,IA,✔️
66,Human_Code,Humano,0.3362543545663357,Humano,✔️
66,IA_Code,IA,0.06520731747150421,IA,✔️
67,Human_Code,Humano,0.17047512531280518,Humano,✔️
67,IA_Code,IA,0.05768304318189621,IA,✔️
68,Human_Code,IA,0.06117583066225052,Humano,❌
68,IA_Code,IA,0.06523542106151581,IA,✔️
69,Human_Code,Humano,0.10606666654348373,Humano,✔️
69,IA_Code,IA,0.061451833695173264,IA,✔️
70,Human_Code,Humano,0.4566666781902313,Humano,✔️
70,IA_Code,Humano,0.07722357660531998,IA,❌
71,Human_Code,Humano,0.0728815495967865,Humano,✔️
71,IA_Code,IA,0.06976263225078583,IA,✔️
72,Human_Code,Humano,0.07998473197221756,Humano,✔️
72,IA_Code,Humano,0.10514605045318604,IA,❌
73,Human_Code,Humano,0.08986522257328033,Humano,✔️
73,IA_Code,IA,0.06305211037397385,IA,✔️
74,Human_Code,Humano,0.35777799785137177,Humano,✔️
74,IA_Code,Humano,0.3577636480331421,IA,❌
75,Human_Code,Humano,0.08564553409814835,Humano,✔️
75,IA_Code,Humano,0.1444741040468216,IA,❌
76,Human_Code,Humano,0.10565095394849777,Humano,✔️
76,IA_Code,IA,0.057916466146707535,IA,✔️
77,Human_Code,Humano,0.4962962716817856,Humano,✔️
77,IA_Code,IA,0.05786493420600891,IA,✔️
78,Human_Code,Humano,0.4094213545322418,Humano,✔️
78,IA_Code,IA,0.06152842193841934,IA,✔️
79,Human_Code,Humano,0.11862986534833908,Humano,✔️
79,IA_Code,Humano,0.07068940252065659,IA,❌
80,Human_Code,Humano,0.07067200541496277,Humano,✔️
80,IA_Code,IA,0.06841026991605759,IA,✔️
81,Human_Code,Humano,0.3946402271588643,Humano,✔️
81,IA_Code,IA,0.060961395502090454,IA,✔️
82,Human_Code,Humano,0.3087049871683121,Humano,✔️
82,IA_Code,Humano,0.0872347429394722,IA,❌
83,Human_Code,Humano,0.10553503781557083,Humano,✔️
83,IA_Code,IA,0.06321031600236893,IA,✔️
84,Human_Code,IA,0.06278600543737411,Humano,❌
84,IA_Code,Humano,0.10258540511131287,IA,❌
85,Human_Code,IA,0.06918568909168243,Humano,❌
85,IA_Code,IA,0.06158265471458435,IA,✔️
86,Human_Code,Humano,0.2343633659183979,Humano,✔️
86,IA_Code,Humano,0.0738421306014061,IA,❌
87,Human_Code,Humano,0.09584257006645203,Humano,✔️
87,IA_Code,Humano,0.2431960254907608,IA,❌
88,Human_Code,Humano,0.21571776270866394,Humano,✔️
88,IA_Code,Humano,0.19699141383171082,IA,❌
89,Human_Code,Humano,0.1820022165775299,Humano,✔️
89,IA_Code,IA,0.05596090108156204,IA,✔️
90,Human_Code,Humano,0.49404385685920715,Humano,✔️
90,IA_Code,IA,0.06775595992803574,IA,✔️
91,Human_Code,Humano,0.2650294303894043,Humano,✔️
91,IA_Code,IA,0.06260290741920471,IA,✔️
92,Human_Code,Humano,0.08299440145492554,Humano,✔️
92,IA_Code,Humano,0.08433713763952255,IA,❌
93,Human_Code,IA,0.06884505599737167,Humano,❌
93,IA_Code,IA,0.05582338199019432,IA,✔️
94,Human_Code,Humano,0.13689831271767616,Humano,✔️
94,IA_Code,IA,0.0663049966096878,IA,✔️
95,Human_Code,Humano,0.11621709913015366,Humano,✔️
95,IA_Code,IA,0.06285332888364792,IA,✔️
96,Human_Code,IA,0.06767352670431137,Humano,❌
96,IA_Code,IA,0.059762291610240936,IA,✔️
97,Human_Code,Humano,0.09418748319149017,Humano,✔️
97,IA_Code,Humano,0.07391825318336487,IA,❌
98,Human_Code,IA,0.06849172711372375,Humano,❌
98,IA_Code,Humano,0.07813151925802231,IA,❌
99,Human_Code,Humano,0.3267895095050335,Humano,✔️
99,IA_Code,IA,0.0677446648478508,IA,✔️
100,Human_Code,IA,0.06886570900678635,Humano,❌
100,IA_Code,Humano,0.08578916639089584,IA,❌
101,Human_Code,Humano,0.3464358150959015,Humano,✔️
101,IA_Code,Humano,0.2721704840660095,IA,❌
102,Human_Code,Humano,0.07461539655923843,Humano,✔️
102,IA_Code,Humano,0.10065916925668716,IA,❌
103,Human_Code,Humano,0.09734945744276047,Humano,✔️
103,IA_Code,IA,0.0576791875064373,IA,✔️
104,Human_Code,Humano,0.5327157378196716,Humano,✔️
104,IA_Code,Humano,0.0707278698682785,IA,❌
105,Human_Code,Humano,0.08325067907571793,Humano,✔️
105,IA_Code,Humano,0.07839223742485046,IA,❌
106,Human_Code,IA,0.06925829499959946,Humano,❌
106,IA_Code,IA,0.0605093389749527,IA,✔️
107,Human_Code,Humano,0.4905773252248764,Humano,✔️
107,IA_Code,IA,0.05730767920613289,IA,✔️
108,Human_Code,Humano,0.30393750965595245,Humano,✔️
108,IA_Code,IA,0.06516518443822861,IA,✔️
109,Human_Code,Humano,0.12166845798492432,Humano,✔️
109,IA_Code,Humano,0.07155637443065643,IA,❌
110,Human_Code,Humano,0.09211276471614838,Humano,✔️
110,IA_Code,Humano,0.07199983298778534,IA,❌
111,Human_Code,Humano,0.19297385091582933,Humano,✔️
111,IA_Code,IA,0.056385695934295654,IA,✔️
112,Human_Code,IA,0.06420020014047623,Humano,❌
112,IA_Code,Humano,0.07317207753658295,IA,❌
113,Human_Code,Humano,0.07496391236782074,Humano,✔️
113,IA_Code,Humano,0.18250085413455963,IA,❌
114,Human_Code,IA,0.06981910765171051,Humano,❌
114,IA_Code,Humano,0.08373140543699265,IA,❌
115,Human_Code,Humano,0.6003836095333099,Humano,✔️
115,IA_Code,IA,0.06644351780414581,IA,✔️
116,Human_Code,Humano,0.31633663550019264,Humano,✔️
116,IA_Code,IA,0.06525959074497223,IA,✔️
117,Human_Code,Humano,0.20479023456573486,Humano,✔️
117,IA_Code,IA,0.06400194764137268,IA,✔️
118,Human_Code,Humano,0.5536505262056987,Humano,✔️
118,IA_Code,Humano,0.08589022606611252,IA,❌
119,Human_Code,Humano,0.07308215647935867,Humano,✔️
119,IA_Code,Humano,0.10083945095539093,IA,❌
120,Human_Code,Humano,0.46980226039886475,Humano,✔️
120,IA_Code,IA,0.06028779596090317,IA,✔️
121,Human_Code,Humano,0.07435301691293716,Humano,✔️
121,IA_Code,Humano,0.07086943089962006,IA,❌
122,Human_Code,Humano,0.12069697678089142,Humano,✔️
122,IA_Code,Humano,0.08907601982355118,IA,❌
123,Human_Code,Humano,0.07566885650157928,Humano,✔️
123,IA_Code,IA,0.06558306515216827,IA,✔️
124,Human_Code,Humano,0.07680951803922653,Humano,✔️
124,IA_Code,IA,0.05966591835021973,IA,✔️
125,Human_Code,Humano,0.17825274169445038,Humano,✔️
125,IA_Code,IA,0.06319739669561386,IA,✔️
126,Human_Code,Humano,0.3124706409871578,Humano,✔️
126,IA_Code,IA,0.05933590233325958,IA,✔️
127,Human_Code,Humano,0.09204768389463425,Humano,✔️
127,IA_Code,Humano,0.09158527851104736,IA,❌
128,Human_Code,Humano,0.07378057390451431,Humano,✔️
128,IA_Code,Humano,0.07667120546102524,IA,❌
129,Human_Code,Humano,0.3959324210882187,Humano,✔️
129,IA_Code,IA,0.0614173524081707,IA,✔️
130,Human_Code,Humano,0.6876726150512695,Humano,✔️
130,IA_Code,IA,0.06369258463382721,IA,✔️
131,Human_Code,IA,0.06938549131155014,Humano,❌
131,IA_Code,IA,0.0692325010895729,IA,✔️
132,Human_Code,Humano,0.5373892784118652,Humano,✔️
132,IA_Code,Humano,0.0761522650718689,IA,❌
133,Human_Code,Humano,0.07734956592321396,Humano,✔️
133,IA_Code,IA,0.058280233293771744,IA,✔️
134,Human_Code,Humano,0.07031334936618805,Humano,✔️
134,IA_Code,Humano,0.1491047739982605,IA,❌
135,Human_Code,Humano,0.08021789789199829,Humano,✔️
135,IA_Code,IA,0.0583677664399147,IA,✔️
136,Human_Code,Humano,0.07302983850240707,Humano,✔️
136,IA_Code,Humano,0.08473145216703415,IA,❌
137,Human_Code,Humano,0.15784180164337158,Humano,✔️
137,IA_Code,Humano,0.10192202776670456,IA,❌
138,Human_Code,Humano,0.5984787940979004,Humano,✔️
138,IA_Code,IA,0.06921884417533875,IA,✔️
139,Human_Code,Humano,0.5065873265266418,Humano,✔️
139,IA_Code,Humano,0.0748061090707779,IA,❌
140,Human_Code,Humano,0.41532177105546,Humano,✔️
140,IA_Code,IA,0.06109249219298363,IA,✔️
141,Human_Code,Humano,0.24510130286216736,Humano,✔️
141,IA_Code,Humano,0.0871913954615593,IA,❌
142,Human_Code,IA,0.06037105247378349,Humano,❌
142,IA_Code,Humano,0.2853622082620859,IA,❌
143,Human_Code,Humano,0.1342441439628601,Humano,✔️
143,IA_Code,IA,0.06720036268234253,IA,✔️
144,Human_Code,Humano,0.21769799292087555,Humano,✔️
144,IA_Code,IA,0.05592438578605652,IA,✔️
145,Human_Code,Humano,0.6817620396614075,Humano,✔️
145,IA_Code,Humano,0.07500432431697845,IA,❌
146,Human_Code,Humano,0.09228696674108505,Humano,✔️
146,IA_Code,IA,0.06505759805440903,IA,✔️
147,Human_Code,Humano,0.16935640573501587,Humano,✔️
147,IA_Code,Humano,0.07420722395181656,IA,❌
148,Human_Code,Humano,0.07534227520227432,Humano,✔️
