Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,Humano,0.13268432021141052,IA,❌
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,Humano,0.0706147700548172,IA,❌
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,IA,0.06298085302114487,IA,✔️
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.06851589679718018,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.14244631677865982,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.06483829766511917,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,IA,0.06854680925607681,IA,✔️
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.06119130924344063,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.06642887741327286,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.05876977741718292,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.06301690638065338,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,IA,0.06566121429204941,IA,✔️
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06238748878240585,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.05897889658808708,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,IA,0.06723073869943619,IA,✔️
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.062074992805719376,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,IA,0.06968261301517487,IA,✔️
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,IA,0.06685193628072739,IA,✔️
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.06435774266719818,IA,✔️
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,Humano,0.07839729636907578,IA,❌
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,IA,0.06058210879564285,IA,✔️
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,IA,0.06459241360425949,IA,✔️
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,IA,0.06682266294956207,IA,✔️
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,IA,0.05506175383925438,IA,✔️
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,IA,0.058538250625133514,IA,✔️
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,IA,0.06270773708820343,IA,✔️
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,IA,0.0655769556760788,IA,✔️
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,Humano,0.07033943384885788,IA,❌
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,IA,0.059273798018693924,IA,✔️
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,IA,0.05743828043341637,IA,✔️
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,Humano,0.15320917963981628,IA,❌
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,IA,0.06442081183195114,IA,✔️
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,IA,0.0628189742565155,IA,✔️
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,Humano,0.3240555375814438,IA,❌
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.06436169147491455,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,Humano,0.12981124594807625,IA,❌
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,Humano,0.39062598161399364,IA,❌
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,IA,0.06607086211442947,IA,✔️
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,IA,0.06730614602565765,IA,✔️
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,IA,0.059360288083553314,IA,✔️
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,IA,0.06543011963367462,IA,✔️
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,Humano,0.08354240655899048,IA,❌
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,IA,0.06876201927661896,IA,✔️
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,IA,0.06399007886648178,IA,✔️
45,Human_Code,IA,0.06476547569036484,Humano,❌
45,IA_Code,IA,0.06018688902258873,IA,✔️
46,Human_Code,Humano,0.5663377314805984,Humano,✔️
46,IA_Code,IA,0.06487960368394852,IA,✔️
47,Human_Code,Humano,0.1959434226155281,Humano,✔️
47,IA_Code,IA,0.06542946398258209,IA,✔️
48,Human_Code,IA,0.060964953154325485,Humano,❌
48,IA_Code,Humano,0.13455098867416382,IA,❌
49,Human_Code,Humano,0.6820157170295715,Humano,✔️
49,IA_Code,Humano,0.12910260260105133,IA,❌
50,Human_Code,IA,0.06222281977534294,Humano,❌
50,IA_Code,Humano,0.12275965139269829,IA,❌
51,Human_Code,Humano,0.10582263022661209,Humano,✔️
51,IA_Code,Humano,0.08588337898254395,IA,❌
52,Human_Code,Humano,0.0712725892663002,Humano,✔️
52,IA_Code,IA,0.06754404306411743,IA,✔️
53,Human_Code,Humano,0.4879023681084315,Humano,✔️
53,IA_Code,Humano,0.10116153955459595,IA,❌
54,Human_Code,Humano,0.08610629290342331,Humano,✔️
54,IA_Code,IA,0.06674489378929138,IA,✔️
55,Human_Code,IA,0.06484369188547134,Humano,❌
55,IA_Code,Humano,0.07078467309474945,IA,❌
56,Human_Code,Humano,0.11724872887134552,Humano,✔️
56,IA_Code,Humano,0.3088032603263855,IA,❌
57,Human_Code,Humano,0.11984777450561523,Humano,✔️
57,IA_Code,IA,0.06625232100486755,IA,✔️
58,Human_Code,IA,0.058992426842451096,Humano,❌
58,IA_Code,IA,0.056995563209056854,IA,✔️
59,Human_Code,Humano,0.1629699319601059,Humano,✔️
59,IA_Code,Humano,0.17852241918444633,IA,❌
60,Human_Code,IA,0.06880956888198853,Humano,❌
60,IA_Code,IA,0.06675762683153152,IA,✔️
61,Human_Code,Humano,0.5872868895530701,Humano,✔️
61,IA_Code,IA,0.05917702987790108,IA,✔️
62,Human_Code,IA,0.06971559673547745,Humano,❌
62,IA_Code,IA,0.06728426367044449,IA,✔️
63,Human_Code,Humano,0.20594494914015135,Humano,✔️
63,IA_Code,IA,0.06039174273610115,IA,✔️
64,Human_Code,Humano,0.7468757629394531,Humano,✔️
64,IA_Code,IA,0.06607767939567566,IA,✔️
65,Human_Code,Humano,0.4714314043521881,Humano,✔️
65,IA_Code,IA,0.06054121255874634,IA,✔️
66,Human_Code,Humano,0.3362543545663357,Humano,✔️
66,IA_Code,IA,0.060668084770441055,IA,✔️
67,Human_Code,Humano,0.17047512531280518,Humano,✔️
67,IA_Code,Humano,0.07673665136098862,IA,❌
68,Human_Code,IA,0.06117583066225052,Humano,❌
68,IA_Code,Humano,0.070284903049469,IA,❌
69,Human_Code,Humano,0.10606666654348373,Humano,✔️
69,IA_Code,IA,0.06206601485610008,IA,✔️
70,Human_Code,Humano,0.4566666781902313,Humano,✔️
70,IA_Code,Humano,0.10132519155740738,IA,❌
71,Human_Code,Humano,0.0728815495967865,Humano,✔️
71,IA_Code,IA,0.06136332452297211,IA,✔️
72,Human_Code,Humano,0.07998473197221756,Humano,✔️
72,IA_Code,Humano,0.11373043991625309,IA,❌
73,Human_Code,Humano,0.08986522257328033,Humano,✔️
73,IA_Code,IA,0.06113547459244728,IA,✔️
74,Human_Code,Humano,0.35777799785137177,Humano,✔️
74,IA_Code,IA,0.06512129306793213,IA,✔️
75,Human_Code,Humano,0.08564553409814835,Humano,✔️
75,IA_Code,IA,0.06436335295438766,IA,✔️
76,Human_Code,Humano,0.10565095394849777,Humano,✔️
76,IA_Code,IA,0.06196128949522972,IA,✔️
77,Human_Code,Humano,0.4962962716817856,Humano,✔️
77,IA_Code,IA,0.06874141842126846,IA,✔️
78,Human_Code,Humano,0.4094213545322418,Humano,✔️
78,IA_Code,IA,0.06640327721834183,IA,✔️
79,Human_Code,Humano,0.11862986534833908,Humano,✔️
79,IA_Code,IA,0.05910525843501091,IA,✔️
80,Human_Code,Humano,0.07067200541496277,Humano,✔️
80,IA_Code,Humano,0.1032332330942154,IA,❌
81,Human_Code,Humano,0.3946402271588643,Humano,✔️
81,IA_Code,IA,0.06258402019739151,IA,✔️
82,Human_Code,Humano,0.3087049871683121,Humano,✔️
82,IA_Code,IA,0.06550426781177521,IA,✔️
83,Human_Code,Humano,0.10553503781557083,Humano,✔️
83,IA_Code,IA,0.06395101547241211,IA,✔️
84,Human_Code,IA,0.06278600543737411,Humano,❌
84,IA_Code,IA,0.06717681139707565,IA,✔️
85,Human_Code,IA,0.06918568909168243,Humano,❌
85,IA_Code,IA,0.06716589629650116,IA,✔️
86,Human_Code,Humano,0.2343633659183979,Humano,✔️
86,IA_Code,Humano,0.07570252567529678,IA,❌
87,Human_Code,Humano,0.09584257006645203,Humano,✔️
87,IA_Code,IA,0.06266467273235321,IA,✔️
88,Human_Code,Humano,0.21571776270866394,Humano,✔️
88,IA_Code,IA,0.06181660294532776,IA,✔️
89,Human_Code,Humano,0.1820022165775299,Humano,✔️
89,IA_Code,Humano,0.08155153691768646,IA,❌
90,Human_Code,Humano,0.49404385685920715,Humano,✔️
90,IA_Code,IA,0.05792733654379845,IA,✔️
91,Human_Code,Humano,0.2650294303894043,Humano,✔️
91,IA_Code,Humano,0.09456436336040497,IA,❌
92,Human_Code,Humano,0.08299440145492554,Humano,✔️
92,IA_Code,Humano,0.07940181344747543,IA,❌
93,Human_Code,IA,0.06884505599737167,Humano,❌
93,IA_Code,IA,0.06748262792825699,IA,✔️
94,Human_Code,Humano,0.13689831271767616,Humano,✔️
94,IA_Code,IA,0.060542717576026917,IA,✔️
95,Human_Code,Humano,0.11621709913015366,Humano,✔️
95,IA_Code,IA,0.05823519825935364,IA,✔️
96,Human_Code,IA,0.06767352670431137,Humano,❌
96,IA_Code,IA,0.06123286113142967,IA,✔️
97,Human_Code,Humano,0.09418748319149017,Humano,✔️
97,IA_Code,IA,0.058371495455503464,IA,✔️
98,Human_Code,IA,0.06849172711372375,Humano,❌
98,IA_Code,Humano,0.07054230570793152,IA,❌
