Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.06174320727586746,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,Humano,0.07110109180212021,IA,❌
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,IA,0.06337181478738785,IA,✔️
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.0658821165561676,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.36116745695471764,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,IA,0.0697258934378624,IA,✔️
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,Humano,0.07084272056818008,IA,❌
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.060865409672260284,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.05869012698531151,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,Humano,0.10327368229627609,IA,❌
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.06402009725570679,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,IA,0.06682620942592621,IA,✔️
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,IA,0.06036708876490593,IA,✔️
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.06781675666570663,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,IA,0.06589224934577942,IA,✔️
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,Humano,0.07705402374267578,IA,❌
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,Humano,0.5804386138916016,IA,❌
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,Humano,0.11793355643749237,IA,❌
19,Human_Code,IA,0.06672707945108414,Humano,❌
19,IA_Code,IA,0.06533457338809967,IA,✔️
20,Human_Code,Humano,0.6827327609062195,Humano,✔️
20,IA_Code,Humano,0.14269708096981049,IA,❌
21,Human_Code,Humano,0.5987721681594849,Humano,✔️
21,IA_Code,IA,0.05563291534781456,IA,✔️
22,Human_Code,Humano,0.09451432526111603,Humano,✔️
22,IA_Code,Humano,0.12095407396554947,IA,❌
23,Human_Code,IA,0.06536398082971573,Humano,❌
23,IA_Code,Humano,0.08310820907354355,IA,❌
24,Human_Code,Humano,0.27754154801368713,Humano,✔️
24,IA_Code,IA,0.06185592710971832,IA,✔️
25,Human_Code,Humano,0.07518041133880615,Humano,✔️
25,IA_Code,Humano,0.09765554219484329,IA,❌
26,Human_Code,Humano,0.2045161835849285,Humano,✔️
26,IA_Code,IA,0.06241777911782265,IA,✔️
27,Human_Code,IA,0.06869827210903168,Humano,❌
27,IA_Code,IA,0.06972423940896988,IA,✔️
28,Human_Code,Humano,0.3040691502392292,Humano,✔️
28,IA_Code,IA,0.0576874241232872,IA,✔️
29,Human_Code,Humano,0.19868482649326324,Humano,✔️
29,IA_Code,Humano,0.10045827925205231,IA,❌
30,Human_Code,IA,0.06557974219322205,Humano,❌
30,IA_Code,IA,0.0695543959736824,IA,✔️
31,Human_Code,Humano,0.5076978802680969,Humano,✔️
31,IA_Code,IA,0.06514035165309906,IA,✔️
32,Human_Code,IA,0.06384796649217606,Humano,❌
32,IA_Code,IA,0.06583940982818604,IA,✔️
33,Human_Code,Humano,0.11522325873374939,Humano,✔️
33,IA_Code,IA,0.06203960254788399,IA,✔️
34,Human_Code,Humano,0.16996726393699646,Humano,✔️
34,IA_Code,Humano,0.08283891528844833,IA,❌
35,Human_Code,Humano,0.08667286485433578,Humano,✔️
35,IA_Code,IA,0.06672139465808868,IA,✔️
36,Human_Code,Humano,0.17887960001826286,Humano,✔️
36,IA_Code,IA,0.06184264272451401,IA,✔️
37,Human_Code,Humano,0.07814440131187439,Humano,✔️
37,IA_Code,IA,0.058869268745183945,IA,✔️
38,Human_Code,IA,0.06454359740018845,Humano,❌
38,IA_Code,Humano,0.12380197644233704,IA,❌
39,Human_Code,Humano,0.10745849460363388,Humano,✔️
39,IA_Code,Humano,0.07032136619091034,IA,❌
40,Human_Code,Humano,0.7526307106018066,Humano,✔️
40,IA_Code,Humano,0.11004533618688583,IA,❌
41,Human_Code,IA,0.0665549784898758,Humano,❌
41,IA_Code,IA,0.06385427713394165,IA,✔️
42,Human_Code,Humano,0.24480722472071648,Humano,✔️
42,IA_Code,IA,0.059870362281799316,IA,✔️
43,Human_Code,Humano,0.07555567473173141,Humano,✔️
43,IA_Code,Humano,0.08015214651823044,IA,❌
44,Human_Code,Humano,0.3446778953075409,Humano,✔️
44,IA_Code,Humano,0.22592365741729736,IA,❌
45,Human_Code,IA,0.06476547569036484,Humano,❌
