Problema,Columna,Predicción,Confianza_IA,GroundTruth,Acierto
1,Human_Code,Humano,0.2860621511936188,Humano,✔️
1,IA_Code,IA,0.06620513647794724,IA,✔️
2,Human_Code,IA,0.06252460181713104,Humano,❌
2,IA_Code,IA,0.06109939143061638,IA,✔️
3,Human_Code,Humano,0.4058370739221573,Humano,✔️
3,IA_Code,IA,0.059150271117687225,IA,✔️
4,Human_Code,Humano,0.1932767666876316,Humano,✔️
4,IA_Code,IA,0.062259264290332794,IA,✔️
5,Human_Code,Humano,0.6677579283714294,Humano,✔️
5,IA_Code,Humano,0.08236141875386238,IA,❌
6,Human_Code,Humano,0.08170013129711151,Humano,✔️
6,IA_Code,Humano,0.07745135575532913,IA,❌
7,Human_Code,Humano,0.09962116926908493,Humano,✔️
7,IA_Code,IA,0.06441990286111832,IA,✔️
8,Human_Code,Humano,0.10043267905712128,Humano,✔️
8,IA_Code,IA,0.056185413151979446,IA,✔️
9,Human_Code,Humano,0.42941394448280334,Humano,✔️
9,IA_Code,IA,0.06156981736421585,IA,✔️
10,Human_Code,Humano,0.3209908604621887,Humano,✔️
10,IA_Code,IA,0.06014031544327736,IA,✔️
11,Human_Code,IA,0.06378517299890518,Humano,❌
11,IA_Code,IA,0.0632849857211113,IA,✔️
12,Human_Code,Humano,0.2957549951970577,Humano,✔️
12,IA_Code,IA,0.06936609745025635,IA,✔️
13,Human_Code,IA,0.06995642185211182,Humano,❌
13,IA_Code,Humano,0.08080510050058365,IA,❌
14,Human_Code,Humano,0.20567476376891136,Humano,✔️
14,IA_Code,IA,0.0683697834610939,IA,✔️
15,Human_Code,Humano,0.47144973278045654,Humano,✔️
15,IA_Code,IA,0.061271753162145615,IA,✔️
16,Human_Code,Humano,0.08887412399053574,Humano,✔️
16,IA_Code,IA,0.06252498179674149,IA,✔️
17,Human_Code,Humano,0.10512776672840118,Humano,✔️
17,IA_Code,IA,0.06537216156721115,IA,✔️
18,Human_Code,Humano,0.5397720634937286,Humano,✔️
18,IA_Code,Humano,0.09078635275363922,IA,❌
